entity,State Code,State Name,Photolisting Name,Photolisting URL,State Agency Name,State Agency Page Name,State Agency URL,Heart Gallery Name,Heart Gallery URL,Heart Gallery Is Regional Fallback,Org 1 Name,Org 1 URL,Org 1 Type,Org 1 Description,Org 2 Name,Org 2 URL,Org 2 Type,Org 2 Description,Org 3 Name,Org 3 URL,Org 3 Type,Org 3 Description,Org 4 Name,Org 4 URL,Org 4 Type,Org 4 Description,Research Notes
MO|Missouri,MO,Missouri,Missouri Heart Gallery,https://moheartgallery.org/search-the-kid/,Missouri Department of Social Services Children's Division,Becoming a Foster Parent,https://dss.mo.gov/cd/foster-care/becoming-a-foster-parent.htm,Missouri Heart Gallery,https://moheartgallery.org,False,One Heart Family Ministries,https://www.ohfm.org,christian_ministry,"Faith-based foster parent training, trauma support, and community for Missouri foster/adoptive families.",Lutheran Family and Children's Services,https://lfcsmo.org,placement_agency,"Provides foster care case management, adoption, and counseling services statewide for children in MO foster care.",Missouri CASA Association,https://www.mocasa.org,casa_gal,State association promoting and supporting local CASA programs advocating for abused/neglected kids in foster care.,Foster & Adoptive Care Coalition,https://www.foster-adopt.org,advocacy,Recruits and supports foster/adoptive families to create permanency for children impacted by foster care in Missouri.,"Photolisting is state-partnered Missouri Heart Gallery (DSS-linked, Raise the Future operated); no standalone state-run site found. Heart Gallery is local MO chapter. All URLs verified live via fetches/searches [dss.mo.gov](https://dss.mo.gov/cd/foster-care/becoming-a-foster-parent.htm), [moheartgallery.org](https://moheartgallery.org), [heartgalleryofamerica.org](https://heartgalleryofamerica.org/galleries/missouri/)."
AZ|Arizona,AZ,Arizona,Children's Heart Gallery,https://www.childrensheartgallery.org/,Arizona Department of Child Safety,Office of Licensing and Regulation,https://dcs.az.gov/olr,Children's Heart Gallery,https://www.childrensheartgallery.org/,False,Christian Family Care Agency,https://cfcare.org,christian_ministry,"Christian foster care and adoption agency providing licensure, training, and support for families in Arizona.",Arizona Children's Association,https://www.arizonaschildren.org,placement_agency,"Largest foster care provider in Arizona, offering training, support, and placement services for foster families statewide.",CASA of Arizona,https://www.azcourts.gov/CASA,casa_gal,Statewide program recruiting volunteers to advocate for abused and neglected children in Arizona foster care courts.,,,,,Children's Heart Gallery is the state-partnered photolisting run by DCS; gallery page requires filters but is official. State agency page is OLR for licensing. All URLs verified via search snippets as live.
MN|Minnesota,MN,Minnesota,Foster Adopt Minnesota Waiting Kids,https://www.fosteradoptmn.org/waiting-kids/,"Minnesota Department of Children, Youth, and Families",Licensing,https://dcyf.mn.gov/partners-and-providers/licensing,Minnesota Heart Gallery,http://www.minnesotaheartgallery.org,False,Bethany Christian Services,https://bethany.org/,christian_ministry,Christian foster care and adoption services with Minnesota locations supporting families and children in need.,Children's HeartLink Lutheran Social Service (CHLSS),https://chlss.org/,placement_agency,"Private agency contracted with state for foster care adoption, matching families with Minnesota waiting children.",CASA Minnesota,https://www.casamn.org,casa_gal,Recruits and supports volunteer Guardians ad Litem advocating for abused/neglected children in MN courts.,,,,,"Photolisting is state adoption exchange managed by Foster Adopt MN, semi-official. State agency page is general licensing info as no specific 'become foster parent' landing found; DCYF oversees with counties/private agencies licensing. Heart Gallery site active per recent images. CASA site may need confirmation."
MT|Montana,MT,Montana,AdoptUSKids Montana Waiting Children,https://www.adoptuskids.org/meet-the-children/search-for-children/search?state=MT,"Montana Department of Public Health and Human Services, Child and Family Services Division",Becoming a Foster Parent in Montana,https://dphhs.mt.gov/cfsd/fosterparent/,Heart Gallery of America,https://heartgalleryofamerica.org/,True,The Sacred Portion (HopeFull Connections),https://sacredportion.org/,christian_ministry,"Christian ministry providing foster care, adoption services, and support for vulnerable children in Montana.",Catholic Social Services of Montana,http://www.cssmt.org,placement_agency,"State-licensed private agency offering foster care, adoption, and family support services across Montana.",Montana CASA/GAL Association,https://www.mtcasa.org/,casa_gal,Statewide association supporting local CASA/GAL programs advocating for abused and neglected children in court.,Child Bridge Montana,https://www.childbridgemontana.org/,advocacy,"Nonprofit providing foster family recruitment, training, support, and child-specific matching services statewide.",No state-run photolisting found; state directs to AdoptUSKids. No local Heart Gallery chapter; national fallback used. CASA URL assumed from common pattern and LinkedIn refs; confirm live. Orgs from DPHHS licensed list and searches. All URLs need live verification.
ID|Idaho,ID,Idaho,Idaho Wednesday's Child,https://idahowednesdayschild.org/waiting-kids,Idaho Department of Health and Welfare,Apply to Become a Foster Parent,https://healthandwelfare.idaho.gov/services-programs/children-families-older-adults/child-and-family-services-and-foster-care/apply,Heart Gallery of America,https://heartgalleryofamerica.org/,True,IDFAPA,https://idfapa.org,advocacy,"Nonprofit improving care and support for foster and adoptive children and families statewide through resources, education, and awareness.",North Idaho CASA,https://www.northidahocasa.org,casa_gal,Recruits and trains volunteers to advocate in court for abused/neglected youth (0-23) in North Idaho's First Judicial District.,Idaho Youth Ranch,https://www.youthranch.org/,placement_agency,"Provides adoption services and youth shelter for at-risk children in Idaho, accredited for foster care support.",,,,,No local Heart Gallery chapter found; national fallback used. Photolisting photos require home study approval. No strong Christian ministry identified with state-specific foster focus; prioritized other types for variety. All URLs verified live. [Idaho research notes](file:///home/user/workspace/idaho_foster_research_notes.md)
DE|Delaware,DE,Delaware,Heart Gallery - DSCYF - State of Delaware,https://kids.delaware.gov/family-services/heartgallery/,"Delaware Department of Services for Children, Youth and their Families, Division of Family Services",Foster Care,https://kids.delaware.gov/family-services/foster-care/,Heart Gallery - DSCYF,https://kids.delaware.gov/family-services/heartgallery/,False,Bethany Christian Services Delaware,https://bethany.org/locations/us/delaware/delaware,christian_ministry,Christian nonprofit providing foster care and adoption from foster care services in Delaware.,Children's Choice of Delaware,https://www.childrenschoice.org/delaware-programs,placement_agency,Contracted Christian agency offering foster care placements and adoption services for Delaware child welfare children.,CASA Delaware,https://courts.delaware.gov/childadvocate/casa/,casa_gal,Official state CASA program providing volunteer advocates for abused/neglected children in foster care.,,,,,State Heart Gallery pages describe waiting children but show no photos/profiles (contact for info). No AdoptUSKids state-specific photolist found; state site preferred as semi-official.
IL|Illinois,IL,Illinois,Heart Gallery of Illinois,https://letitbeus.org/heart-gallery-of-illinois/,Illinois Department of Children and Family Services,Foster Care,https://dcfs.illinois.gov/loving-homes/fostercare.html,Heart Gallery of Illinois,https://letitbeus.org/heart-gallery-of-illinois/,False,Bethany Christian Services,https://bethany.org,christian_ministry,"Christian organization providing foster care, adoption, and family services across Illinois locations.",Let It Be Us,https://letitbeus.org/,placement_agency,Licensed child welfare agency operating Illinois Adoption Listing Service and Heart Gallery for foster-to-adopt matching.,Illinois CASA,https://illinoiscasa.org/,casa_gal,State network supporting local CASA/GAL programs advocating for abused/neglected children in Illinois child welfare cases.,,,,,Heart Gallery of Illinois is the official/semi-official photolisting promoted by DCFS; requires licensed foster parent registration for full access to profiles. Placement agencies like Let It Be Us contract with DCFS for licensing/recruitment. Bethany has IL offices for foster services. Illinois CASA site shows access issue but confirmed via [LinkedIn](https://www.linkedin.com/company/illinoiscasa) and state grants.
NH|New Hampshire,NH,New Hampshire,Adopt NH Our Waiting Children,https://www.adoptnh.org/our-waiting-children,"New Hampshire Department of Health and Human Services, Division for Children, Youth and Families (DCYF)",Foster Care and Adoption Services,https://www.dhhs.nh.gov/dcyf/programs-and-services/foster-care-and-adoption-services,Heart Gallery of America,https://heartgalleryofamerica.org/,True,Catholic Charities New Hampshire,https://www.cc-nh.org/,placement_agency,"Provides adoption services, family support, emergency shelter, and transitional housing for children and families in crisis.",CASA of New Hampshire,https://www.casanh.org/,casa_gal,Trained volunteer advocates represent abused and neglected children in court to ensure their best interests.,Life Connections,https://www.lifeconnectionsusa.org/new-hampshire-foster-care,placement_agency,Partners with DCYF to provide intensive and specialized foster care services for youth statewide.,,,,,"No local Heart Gallery chapter found; used national fallback. State agency foster recruitment page suspected at https://www.dhhs.nh.gov/dcyf/programs-and-services/foster-care-and-adoption-services but fetch failed (bad_robots); confirmed via multiple directories. Adopt NH is state-partnered semi-official photolisting legally free children via DCYF [AdoptUSKids](https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/new-hampshire), [Heart Gallery of America](https://heartgalleryofamerica.org/galleries/bookmarks/). No Christian ministry with dedicated foster focus found with live site; used strong placement agencies instead."
NM|New Mexico,NM,New Mexico,Heart Gallery of New Mexico,https://heartgallerynm.org,"New Mexico Children, Youth and Families Department",Foster Care in New Mexico,https://www.cyfd.nm.gov/foster-care-in-new-mexico/,Heart Gallery of New Mexico,https://heartgallerynm.org,False,New Mexico Christian Children's Home,https://www.nmcch.org,christian_ministry,"Provides homes, mentorship, and services for disadvantaged youth and young adults in foster care situations across New Mexico.",Red Mountain Family Services,https://redmountainfamilyservices.com,placement_agency,"Treatment foster placement agency serving New Mexico's foster children with care, therapy, and parent support since 2004.",New Mexico CASA Association,https://newmexicocasa.org,casa_gal,Supports 13 local CASA programs providing volunteer court advocacy for abused and neglected children in New Mexico.,,,,,State Heart Gallery site https://heartgallerynm.org listed by CYFD on Heart Gallery of America page but currently returns page not found; may be temporarily down. No active state-run photolisting found on CYFD site; AdoptUSKids NM page used as alternative info source but no direct photolist. Heart Gallery is CYFD-coordinated local chapter.
AR|Arkansas,AR,Arkansas,Arkansas Heart Gallery,https://www.theprojectzero.org/,"Arkansas Department of Human Services, Division of Children and Family Services",Foster Parent Pre-Application Process,https://everychildarkansas.org/all-about-foster-care/foster-parent-pre-application-process/,Arkansas Heart Gallery,https://www.theprojectzero.org/,False,The CALL in Arkansas,https://thecallinarkansas.org/,christian_ministry,"Christian organization recruiting, training, and supporting foster families across Arkansas counties.",Bethany Christian Services,https://bethany.org/,placement_agency,"Provides foster care, adoption, and family services with Arkansas office in Little Rock.",Arkansas CASA,https://arkansascasa.net/,casa_gal,State association coordinating CASA volunteers to advocate for abused/neglected children in foster care.,,,,,"Photolisting/Heart Gallery via Project Zero, state-partnered (featured on DHS site). Agency recruitment via Every Child Arkansas (.org contractor/partner per DHS PDFs and pages); no direct .gov 'become foster' landing found, noted as official channel [[DHS](https://dhs.arkansas.gov/dcfs/fcadoptinq/fca_inquiry.aspx), [PDF](https://humanservices.arkansas.gov/wp-content/uploads/RoadToFostering.FINAL_.pdf)]."
